comment,sentiment_scores,sentiment,subjectivity,word_count
"Hi ,i have followed all the steps yet i couldn't find  either anaconda prompt or anaconda navigator  in search menu .Please help me","{'neg': 0.0, 'neu': 0.8, 'pos': 0.2, 'compound': 0.6124}",Positive,0.0,24
ken you are the top!,"{'neg': 0.0, 'neu': 0.657, 'pos': 0.343, 'compound': 0.2714}",Positive,0.5,5
"Hi Ken, 

Would you script your whole project in Spyder then if you wish to share it copy and paste it to Jupyter with markdown where necessary? I'm just wondering why not skip the middle man and use Jupyter all the time.

Take care thanks for all the great info!","{'neg': 0.0, 'neu': 0.745, 'pos': 0.255, 'compound': 0.937}",Positive,0.4699999999999999,51
"I just removed all of python, pycharm, anaconda from my computer and followed along. i reinstalled anaconda and then it will not let me open any of jupyter notebook spyder or anything. the error is an import error? please help","{'neg': 0.122, 'neu': 0.766, 'pos': 0.113, 'compound': -0.1027}",Negative,0.5,40
thanks,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",Positive,0.2,1
Thanks,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4404}",Positive,0.2,1
"Thanks for this intro and starting with anaconda, it very easy to follow. i had been using jupyter since 365, kind of only one i used. i understand spyder can see the variable and dataframe easily. i have a question for the same code and dataset, which will run faster? spyder or jupyter? Thanks","{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.8946}",Positive,0.5447916666666667,54
"It's really  cool to see Python and Anaconda fight in jupyter planet, like an R rated movie,.. Haha","{'neg': 0.11, 'neu': 0.549, 'pos': 0.342, 'compound': 0.6697}",Positive,0.475,19
"Two questions (as I haven't installed Anaconda yet) : 
1) Isn't there an Anaconda manager that allows to create and switch to different environments? I mean, you used code lines in cmd but if I'm not wrong that should be done by just clicking some commands in Ananconda navigator. Am I wrong? 
2)Tensorflow is a pain for my python version (3.7). Which python version/environment do you suggest for installing and using Tensorflow successfully?

Thanks","{'neg': 0.053, 'neu': 0.747, 'pos': 0.2, 'compound': 0.9091}",Positive,0.6575,77
great vid sweet and to the point thanks for this,"{'neg': 0.0, 'neu': 0.412, 'pos': 0.588, 'compound': 0.875}",Positive,0.5333333333333333,10
Im.ramnivas,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,1
"This saved my butt. I was searching all over the net for how to use Spyder in different environments and nobody had explained it properly. 
Thanks Ken.","{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.6908}",Positive,0.26666666666666666,27
Do you recommend it over PyCharm?,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",Positive,0.0,6
Is it only for windows 10 or else we can install on windows  7 also?  I’m having my project please do reply sir,"{'neg': 0.0, 'neu': 0.901, 'pos': 0.099, 'compound': 0.3182}",Positive,1.0,25
"Hey is jupyter notebook too slow to run, Everytime I login again after a break I have to rerun all the cells and still notice some of the cells are unexecuted ,it's like running a same codes for many a times before you move ahead it's so frustrating ,is their a way to handle all this ?","{'neg': 0.069, 'neu': 0.885, 'pos': 0.046, 'compound': -0.3052}",Negative,0.48124999999999996,58
How to change spyder to dark theme?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.4,7
"Hey ken, cheers for another detailed video.
I recently finished my first side data analysis project, and have added it to a github to show on my resume.
What next steps do you suggest for me? Is there any way to get my project reviewed for any feedback?


Thanks!","{'neg': 0.0, 'neu': 0.871, 'pos': 0.129, 'compound': 0.7685}",Positive,0.30666666666666664,49
"Hello Ken,
I started studying Data Science last year, and since them your channel helped me a lot with a lot of tips and advices. 

Please continue with your fantastic work!!!","{'neg': 0.0, 'neu': 0.793, 'pos': 0.207, 'compound': 0.7767}",Positive,0.48333333333333334,31
