comment,sentiment_scores,sentiment,subjectivity,word_count
I wish YouTube had recommended me this 6 months ago... the information you give is just too valuable,"{'neg': 0.0, 'neu': 0.631, 'pos': 0.369, 'compound': 0.765}",Positive,0.0,18
So how long it took you to learn data science from scratch?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.4,12
How to learn practically for example applying the theories in practical real life examples? Thanks,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",Positive,0.25,15
What do you think about codecademy? I was going through it for a while and i feel like its pretty good but im not amazing at data science yet so how do i know,"{'neg': 0.114, 'neu': 0.724, 'pos': 0.162, 'compound': -0.0793}",Negative,0.8333333333333334,34
"Hello sir, what's specific course that i have to finish ini kaggle? Its just ML course，python and deep learning? Is it enough to prepared for ML crash course by Google?","{'neg': 0.101, 'neu': 0.84, 'pos': 0.059, 'compound': -0.327}",Negative,0.3416666666666666,31
"watching u from Germany....keep going. I really needed to hear that, coz I didn't know how to start!!!!!!!   Thanx alot :)","{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.6331}",Positive,0.6,22
This is soo valuable!,"{'neg': 0.0, 'neu': 0.469, 'pos': 0.531, 'compound': 0.5255}",Positive,0.0,4
Thank you for this. I have just begun learning python and i can see this video as extremely useful to my learning experience.,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.6901}",Positive,0.0,23
Could you specify how to learn form others' notebooks on Kaggle? I'm not sure how to start.,"{'neg': 0.109, 'neu': 0.891, 'pos': 0.0, 'compound': -0.2411}",Negative,0.8888888888888888,18
Thank you so much! Also can I get a link for statistics course? I couldn’t find statistics course on Kaggle! God bless you man! 😁,"{'neg': 0.0, 'neu': 0.685, 'pos': 0.315, 'compound': 0.8061}",Positive,0.2,27
Helps a lots !! Thank you,"{'neg': 0.0, 'neu': 0.345, 'pos': 0.655, 'compound': 0.6892}",Positive,0.0,5
Adding this video to my resource guide as I journey learning python to use for my needs,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,17
I dont understand why useless stuff has more fame then Useful stuff.,"{'neg': 0.0, 'neu': 0.479, 'pos': 0.521, 'compound': 0.8266}",Positive,0.2333333333333333,12
Where to find data science related projects for profile building for a fresher?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.4,13
"i have a question about
 1.who can do the data science course and non IT peoples .
2. past experience on another field   
disturb in selection process in job
3.any age limit 🙄
4.i am from a different field .which course is best for me.DA,DE,DS
and the courses.
plz suggest ❤️","{'neg': 0.053, 'neu': 0.84, 'pos': 0.107, 'compound': 0.4215}",Positive,0.3833333333333333,52
Indeed great video.,"{'neg': 0.0, 'neu': 0.328, 'pos': 0.672, 'compound': 0.6249}",Positive,0.75,3
Thanks Ken for sharing.,"{'neg': 0.0, 'neu': 0.26, 'pos': 0.74, 'compound': 0.6908}",Positive,0.2,4
anyone finds this man incredibly charming.,"{'neg': 0.0, 'neu': 0.55, 'pos': 0.45, 'compound': 0.624}",Positive,1.0,6
Awesome video mate. Do you know about some free certificate in statistics? I would really appreciate any info. Greetings!,"{'neg': 0.0, 'neu': 0.509, 'pos': 0.491, 'compound': 0.9258}",Positive,0.6666666666666666,19
"Congratulation for your publication, can you recomend  one site at the same way but reference to AI ( Artificial Inteligent), thanks a lot.","{'neg': 0.0, 'neu': 0.751, 'pos': 0.249, 'compound': 0.743}",Positive,0.44166666666666665,22
"Thank you, Ken! Every time I watch a video from your channel, I see honest words from you trying to make things easier for us! You might underestimate that, but trust me, they motivate me and push me to do more!","{'neg': 0.033, 'neu': 0.665, 'pos': 0.302, 'compound': 0.9174}",Positive,0.7,41
I started learning python from last week...thanks for inspiring me...❤️,"{'neg': 0.0, 'neu': 0.741, 'pos': 0.259, 'compound': 0.4215}",Positive,0.5333333333333333,12
Thank you so much my man,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.3612}",Positive,0.2,6
One of the most informative and simple ways of passing knowledge and guiding!,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.4285714285714286,13
Can anyone help me to set time bound milestone for bioinformatics(datascience with domain knowledge of molecular bio) ?,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.4019}",Positive,0.0,18
"Hi im just a highschoool graduate for long time , I wanted to study again  But I want to study data scientist , Do you thing its   possible for a highschool grad . I don't remember math now even other subject during my highschool day . Is that possible to study data science and what university you can refer for a beginner like me . Please help new subscriber here .Thanks a lot","{'neg': 0.0, 'neu': 0.788, 'pos': 0.212, 'compound': 0.9331}",Positive,0.5938131313131313,69
Hii I have completed data science course at udemy. How to try for job through linked in,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,17
